ID,Año,Campeonato,Equipo,Ganados,Perdidos,Empatados,Puntos,Partidos Jugados,GF,GC,DIF,Logo
1042,1975,Nacional 1975,Temperley,10,8,5,35,23,40,36,4,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Club-Atl%C3%A9tico-Temperley.png/120px-Club-Atl%C3%A9tico-Temperley.png
1043,1975,Metropolitano 1975,Union,20,9,9,69,38,65,42,23,https://logodetimes.com/times/union-santa-fe/logo-union-santa-fe-256.png
1044,1975,Nacional 1975,Union,5,5,6,21,16,23,19,4,https://logodetimes.com/times/union-santa-fe/logo-union-santa-fe-256.png
1045,1975,Metropolitano 1975,Velez,13,12,13,52,38,50,47,3,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
1046,1975,Nacional 1975,Velez,3,9,4,13,16,20,30,-10,https://logodetimes.com/times/velez-sarsfield/logo-velez-sarsfield-256.png
1047,1976,Nacional 1976,Aldosivi,4,8,4,16,16,20,32,-12,https://logodetimes.com/times/aldosivi/logo-aldosivi-256.png
1048,1976,Metropolitano 1976,All Boys,4,16,11,23,31,27,52,-25,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Escudo_del_Club_Atl%C3%A9tico_All_Boys.svg/150px-Escudo_del_Club_Atl%C3%A9tico_All_Boys.svg.png
1049,1976,Nacional 1976,All Boys,4,8,4,16,16,14,21,-7,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Escudo_del_Club_Atl%C3%A9tico_All_Boys.svg/150px-Escudo_del_Club_Atl%C3%A9tico_All_Boys.svg.png
1050,1976,Metropolitano 1976,Argentinos,5,14,12,27,31,38,58,-20,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
1051,1976,Nacional 1976,Argentinos,7,8,3,24,18,26,27,-1,https://logodetimes.com/times/argentinos-juniors/logo-argentinos-juniors-256.png
1052,1976,Nacional 1976,Atl Ledesma (J),6,7,3,21,16,17,18,-1,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Escudo_Club_Atl%C3%A9tico_Ledesma.png/165px-Escudo_Club_Atl%C3%A9tico_Ledesma.png
1053,1976,Nacional 1976,Atl Tucuman,7,6,3,24,16,21,17,4,https://logodetimes.com/times/atletico-tucuman/logo-atletico-tucuman-256.png
1054,1976,Metropolitano 1976,Atlanta,9,13,9,36,31,33,52,-19,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
1055,1976,Nacional 1976,Atlanta,5,6,5,20,16,23,23,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/C.a._atlanta.png/120px-C.a._atlanta.png
1056,1976,Metropolitano 1976,Banfield,6,10,15,33,31,45,52,-7,https://logodetimes.com/times/banfield/logo-banfield-256.png
1057,1976,Nacional 1976,Banfield,9,4,4,31,17,34,20,14,https://logodetimes.com/times/banfield/logo-banfield-256.png
1058,1976,Metropolitano 1976,Boca Juniors,17,6,10,61,33,48,30,18,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
1059,1976,Nacional 1976,Boca Juniors,13,3,3,42,19,28,11,17,https://logodetimes.com/times/club-atletico-boca-juniors/club-atletico-boca-juniors-256.png
1060,1976,Nacional 1976,Central Norte (S),4,7,5,17,16,15,24,-9,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Escudo_del_Club_Central_Norte_de_Salta.svg/508px-Escudo_del_Club_Central_Norte_de_Salta.svg.png
1061,1976,Metropolitano 1976,Chacarita,10,14,7,37,31,43,57,-14,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
1062,1976,Nacional 1976,Chacarita,2,9,5,11,16,17,27,-10,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg/160px-Escudo_del_Club_Atl%C3%A9tico_Chacarita_Juniors.svg.png
1063,1976,Metropolitano 1976,Colon,11,14,8,41,33,50,55,-5,https://logodetimes.com/times/colon/logo-colon-256.png
1064,1976,Nacional 1976,Colon,4,7,7,19,18,13,20,-7,https://logodetimes.com/times/colon/logo-colon-256.png
1065,1976,Metropolitano 1976,Estudiantes (LP),15,5,13,58,33,49,35,14,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
1066,1976,Nacional 1976,Estudiantes (LP),8,3,5,29,16,23,14,9,https://logodetimes.com/times/estudiantes-de-la-plata/estudiantes-de-la-plata-256.png
1067,1976,Metropolitano 1976,Ferro,9,10,12,39,31,41,47,-6,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
1068,1976,Nacional 1976,Ferro,10,3,5,35,18,38,21,17,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Escudo_del_Club_Ferro_Carril_Oeste.svg/120px-Escudo_del_Club_Ferro_Carril_Oeste.svg.png
1069,1976,Nacional 1976,Gimnasia (J),5,6,5,20,16,17,19,-2,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Escudo_del_Club_Gimnasia_y_Esgrima_Jujuy.svg/150px-Escudo_del_Club_Gimnasia_y_Esgrima_Jujuy.svg.png
1070,1976,Metropolitano 1976,Gimnasia (LP),10,11,12,42,33,49,50,-1,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
1071,1976,Nacional 1976,Gimnasia (LP),5,7,4,19,16,14,20,-6,https://logodetimes.com/times/gimnasia-la-plata/logo-gimnasia-la-plata-256.png
1072,1976,Metropolitano 1976,Huracan,22,2,9,75,33,67,32,35,https://logodetimes.com/times/huracan/logo-huracan-256.png
